93,12,78
96,9,25
1,37,65
31,94,43
24,4,27
37,33,76
32,11,38
92,81,38
32,74,7
55,92,75
91,81,49
100,52,57
88,39,83
47,5,81
50,78,3
4,45,57
4,39,66
9,76,80
29,1,86
10,21,18
14,95,9
28,88,96
48,55,31
90,59,36
74,29,41
65,41,46
61,66,93
13,16,59
32,26,12
60,77,7
29,90,6
24,23,24
92,20,88
22,55,78
55,72,67
66,29,12
55,100,14
78,9,5
59,4,32
67,49,12
30,97,55
97,5,46
42,73,35
35,66,53
33,27,96
93,63,86
25,59,40
11,16,27
84,29,45
72,16,65
47,12,12
96,28,66
2,48,87
76,34,51
9,48,38
62,55,11
18,27,24
23,49,91
78,61,23
79,36,52
27,10,59
6,6,9
50,22,44
98,27,45
84,37,32
71,49,67
98,94,66
90,18,50
7,12,54
46,76,17
25,54,50
38,99,83
45,17,76
58,76,29
49,10,25
64,67,9
35,91,3
92,95,73
90,32,34
40,38,19
14,66,30
59,96,76
82,68,74
28,97,15
45,75,59
13,62,51
21,1,53
11,26,88
45,16,11
37,43,89
2,7,8
21,7,94
53,53,47
5,72,5
42,87,34
68,32,15
16,25,47
8,18,15
19,98,61
68,13,37
36,75,81
70,56,84
14,39,33
79,22,66
53,81,19
13,81,56
55,73,45
97,72,55
93,31,33
6,40,24
84,51,73
5,68,65
89,30,82
28,52,77
35,6,5
48,57,22
92,86,64
33,62,49
29,88,7
70,92,21
48,47,65
92,62,21
84,35,83
31,5,77
8,98,85
59,20,57
19,47,64
13,89,7
90,15,16
10,66,7
48,59,97
38,57,27
62,35,34
1,19,30
62,18,23
42,5,62
63,17,57
71,38,11
50,16,42
79,43,41
79,76,63
35,49,15
91,34,42
14,69,5
16,54,55
18,36,67
92,44,27
99,84,9
90,20,59
9,88,29
44,20,56
91,26,73
99,58,6
46,5,63
70,30,86
70,49,62
54,60,53
16,79,12
8,97,63
55,73,46
20,1,58
1,97,46
55,30,44
58,79,98
16,100,52
74,9,97
27,98,69
54,3,3
80,84,59
20,73,87
4,98,91
22,18,10
10,76,99
42,47,74
3,13,24
29,60,10
45,30,54
91,12,45
65,1,75
25,10,31
36,13,74
5,98,15
89,23,57
82,4,39
92,72,6
91,23,25
15,9,27
9,78,69
64,49,91
95,26,74
1,86,29
90,58,23
25,40,82
94,66,28
19,59,92
91,37,8
65,90,60
3,73,67
85,40,70
37,85,8
66,10,94
65,5,77
100,59,49
42,55,44
8,2,45
12,76,90
63,24,60
42,21,4
59,78,46
70,37,22
75,18,81
34,18,55
3,58,71
1,15,24
26,1,77
96,40,21
40,42,19
78,24,18
65,94,90
72,97,60
94,92,81
23,33,23
54,76,28
87,73,29
17,19,17
86,9,70
41,4,89
45,41,13
98,13,54
87,12,84
89,73,69
10,38,10
7,25,75
63,19,75
26,59,48
36,83,42
31,93,94
17,28,79
73,7,56
47,93,94
51,96,20
42,98,52
97,20,51
79,96,90
4,53,87
8,31,7
40,62,82
54,28,79
41,97,95
68,78,23
41,30,2
67,20,93
76,69,90
79,67,58
11,28,49
63,52,65
70,16,19
85,87,62
44,20,84
95,76,94
9,16,58
71,1,97
9,21,52
68,96,91
79,83,71
70,47,7
31,8,73
98,96,32
1,54,81
40,40,85
47,38,19
41,56,7
23,83,51
63,2,53
92,4,24
98,53,24
14,61,11
28,54,90
89,32,29
55,50,23
6,85,36
69,64,83
92,55,74
90,6,20
6,98,67
65,98,44
80,46,13
99,97,42
12,29,31
59,100,6
27,41,38
71,81,47
21,53,56
90,12,4
45,50,52
24,46,23
47,97,99
79,70,89
80,11,63
49,52,85
96,31,36
20,81,74
67,45,82
63,1,30
34,32,69
6,96,96
39,18,26
33,64,99
87,9,73
88,8,5
42,29,14
59,1,71
61,100,28
92,28,10
87,63,100
37,10,94
98,86,22
25,1,65
71,14,32
73,1,90
71,10,87
21,14,10
10,67,49
41,24,48
40,95,98
99,28,8
62,49,44
40,64,7
35,54,4
45,13,51
96,84,55
7,13,77
13,62,85
39,5,18
86,17,74
65,66,4
86,56,23
94,47,21
43,9,56
58,33,8
17,64,55
33,92,90
58,32,65
88,44,9
20,31,48
88,79,76
66,72,57
64,30,84
97,27,1
15,60,33
10,88,16
64,9,4
68,74,22
51,66,19
95,62,43
5,36,4
100,66,84
57,23,56
51,13,25
55,40,97
72,59,16
16,81,58
49,76,19
58,63,90
98,42,13
69,59,1
90,44,20
57,16,90
19,67,48
19,57,85
40,38,83
20,21,33
83,68,97
73,93,33
28,34,11
25,93,24
46,48,7
59,47,47
24,53,23
69,7,26
60,74,8
34,37,4
77,3,69
82,88,10
83,16,30
79,3,91
4,20,84
89,20,19
44,53,42
57,63,87
24,4,89
14,10,81
89,40,56
63,45,98
95,42,18
46,80,56
8,22,30
7,53,88
43,37,96
67,90,2
39,21,17
18,100,71
95,26,66
65,34,3
58,39,22
64,17,88
57,37,18
90,46,11
58,75,87
40,27,80
52,41,5
17,57,80
40,32,35
92,92,60
34,68,55
23,24,13
2,23,87
7,18,68
15,90,17
56,91,58
38,71,37
75,92,38
61,13,55
32,53,46
65,38,59
48,39,41
44,2,69
27,36,53
57,48,74
94,48,23
3,90,94
45,100,15
98,63,38
40,78,51
37,48,94
27,40,10
21,68,28
5,22,10
76,71,55
20,100,55
63,26,95
39,59,27
32,46,44
14,95,94
53,1,46
19,37,22
80,27,49
58,98,54
74,91,45
49,7,54
6,90,46
52,93,87
3,66,37
56,60,31
31,21,47
20,89,55
13,40,38
90,23,15
88,29,15
13,15,27
50,2,98
42,12,71
18,55,89
96,21,48
42,59,93
85,94,35
84,1,42
79,34,80
39,85,48
3,5,71
84,79,74
20,38,64
26,77,44
100,29,95
5,56,84
76,20,40
66,94,27
75,75,65
91,86,59
39,25,27
54,11,58
25,25,61
76,4,21
54,56,19
63,27,75
60,65,3
32,42,60
27,49,64
97,27,70
54,21,28
43,49,58
8,77,76
78,83,85
57,6,74
8,29,89
45,87,38
60,95,43
13,31,14
77,71,13
64,71,46
14,94,87
65,23,53
17,11,37
83,64,92
39,92,8
95,9,48
89,56,14
87,30,20
76,20,13
22,56,16
74,84,65
98,9,37
35,38,62
87,54,43
78,65,64
9,23,95
33,21,77
72,75,13
32,94,22
68,6,56
90,56,62
19,26,54
22,96,22
98,65,63
70,87,48
13,67,39
52,83,62
22,2,30
77,71,51
41,66,72
12,86,100
43,59,78
7,67,10
86,73,45
66,70,75
57,71,56
77,14,34
55,79,44
26,93,97
47,56,61
31,76,61
71,82,29
45,56,51
5,43,27
95,97,8
16,59,84
41,95,87
66,62,73
69,62,79
55,98,58
91,69,18
10,59,40
17,15,82
28,6,90
29,70,72
6,40,44
25,32,40
49,100,59
21,68,22
78,28,31
29,45,82
72,68,22
8,85,45
42,88,62
98,1,65
87,58,73
15,82,66
42,6,98
34,87,16
30,65,12
49,85,87
80,43,88
29,44,97
86,39,62
78,42,47
70,6,77
58,94,81
4,65,69
99,16,22
97,73,46
86,99,57
69,32,49
37,24,39
37,25,15
72,67,97
11,27,61
46,41,17
98,23,62
32,72,11
1,31,57
40,32,4
18,79,83
99,50,52
32,98,23
50,7,89
76,78,96
99,27,63
70,17,43
35,21,43
50,15,21
52,32,48
5,60,84
70,46,7
93,8,43
25,30,9
68,27,80
70,93,9
43,72,5
69,85,23
47,83,78
7,60,34
24,96,86
